year_film,movie_title,guildwin,category,nominee
1989,driving miss daisy,True,picture,driving miss daisy
1990,dances with wolves,True,picture,dances with wolves
1991,the silence of the lambs,True,picture,the silence of the lambs
1991,at play in the fields of the lord,False,picture,at play in the fields of the lord
1991,boyz n the hood,False,picture,boyz n the hood
1991,the commitments,False,picture,the commitments
1991,jfk,False,picture,jfk
1991,the prince of tides,False,picture,the prince of tides
1992,the crying game,True,picture,the crying game
1992,a few good men,False,picture,a few good men
1992,howards end,False,picture,howards end
1992,scent of a woman,False,picture,scent of a woman
1992,unforgiven,False,picture,unforgiven
1993,schindler's list,True,picture,schindler's list
1993,the fugitive,False,picture,the fugitive
1993,in the name of the father,False,picture,in the name of the father
1993,the piano,False,picture,the piano
1993,the remains of the day,False,picture,the remains of the day
1994,forrest gump,True,picture,forrest gump
1994,four weddings and a funeral,False,picture,four weddings and a funeral
1994,pulp fiction,False,picture,pulp fiction
1994,quiz show,False,picture,quiz show
1994,the shawshank redemption,False,picture,the shawshank redemption
1995,apollo 13,True,picture,apollo 13
1996,the english patient,True,picture,the english patient
1996,fargo,False,picture,fargo
1996,hamlet,False,picture,hamlet
1996,the people vs larry flynt,False,picture,the people vs larry flynt
1996,shine,False,picture,shine
1997,titanic,True,picture,titanic
1997,amistad,False,picture,amistad
1997,as good as it gets,False,picture,as good as it gets
1997,good will hunting,False,picture,good will hunting
1997,la confidential,False,picture,la confidential
1998,saving private ryan,True,picture,saving private ryan
1998,gods and monsters,False,picture,gods and monsters
1998,life is beautiful,False,picture,life is beautiful
1998,shakespeare in love,False,picture,shakespeare in love
1998,waking ned,False,picture,waking ned
1999,american beauty,True,picture,american beauty
1999,being john malkovich,False,picture,being john malkovich
1999,the cider house rules,False,picture,the cider house rules
1999,the hurricane,False,picture,the hurricane
1999,the insider,False,picture,the insider
2000,gladiator,True,picture,gladiator
2000,almost famous,False,picture,almost famous
2000,billy elliot,False,picture,billy elliot
2000,crouching tiger hidden dragon,False,picture,crouching tiger hidden dragon
2000,erin brockovich,False,picture,erin brockovich
2001,moulin rouge!,True,picture,moulin rouge!
2001,a beautiful mind,False,picture,a beautiful mind
2001,harry potter and the sorcerer's stone,False,picture,harry potter and the sorcerer's stone
2001,the lord of the rings: the fellowship of the ring,False,picture,the lord of the rings: the fellowship of the ring
2001,shrek,False,picture,shrek
2002,chicago,True,picture,chicago
2002,adaptation,False,picture,adaptation
2002,gangs of new york,False,picture,gangs of new york
2002,the lord of the rings: the two towers,False,picture,the lord of the rings: the two towers
2002,my big fat greek wedding,False,picture,my big fat greek wedding
2002,road to perdition,False,picture,road to perdition
2003,the lord of the rings: the return of the king,True,picture,the lord of the rings: the return of the king
2003,cold mountain,False,picture,cold mountain
2003,the last samurai,False,picture,the last samurai
2003,master and commander: the far side of the world,False,picture,master and commander: the far side of the world
2003,mystic river,False,picture,mystic river
2003,seabiscuit,False,picture,seabiscuit
2004,the aviator,True,picture,the aviator
2004,finding neverland,False,picture,finding neverland
2004,the incredibles,False,picture,the incredibles
2004,million dollar baby,False,picture,million dollar baby
2004,sideways,False,picture,sideways
2005,brokeback mountain,True,picture,brokeback mountain
2005,capote,False,picture,capote
2005,crash,False,picture,crash
2005,good night and good luck,False,picture,good night and good luck
2005,walk the line,False,picture,walk the line
2006,little miss sunshine,True,picture,little miss sunshine
2006,babel,False,picture,babel
2006,the departed,False,picture,the departed
2006,dreamgirls,False,picture,dreamgirls
2006,the queen,False,picture,the queen
2007,no country for old men,True,picture,no country for old men
2007,the diving bell and the butterfly,False,picture,the diving bell and the butterfly
2007,juno,False,picture,juno
2007,michael clayton,False,picture,michael clayton
2007,there will be blood,False,picture,there will be blood
2008,slumdog millionaire,True,picture,slumdog millionaire
2008,the curious case of benjamin button,False,picture,the curious case of benjamin button
2008,the dark knight,False,picture,the dark knight
2008,frost/nixon,False,picture,frost/nixon
2008,milk,False,picture,milk
2009,the hurt locker,True,picture,the hurt locker
2009,avatar,False,picture,avatar
2009,district 9,False,picture,district 9
2009,an education,False,picture,an education
2009,inglourious basterds,False,picture,inglourious basterds
2009,invictus,False,picture,invictus
2009,precious,False,picture,precious
2009,star trek,False,picture,star trek
2009,up,False,picture,up
2009,up in the air,False,picture,up in the air
2010,the king's speech,True,picture,the king's speech
2010,127 hours,False,picture,127 hours
2010,black swan,False,picture,black swan
2010,the fighter,False,picture,the fighter
2010,inception,False,picture,inception
2010,the kids are all right,False,picture,the kids are all right
2010,the social network,False,picture,the social network
2010,the town,False,picture,the town
2010,toy story 3,False,picture,toy story 3
2010,true grit,False,picture,true grit
2011,the artist,True,picture,the artist
2011,bridesmaids,False,picture,bridesmaids
2011,the descendants,False,picture,the descendants
2011,the girl with the dragon tattoo,False,picture,the girl with the dragon tattoo
2011,the help,False,picture,the help
2011,hugo,False,picture,hugo
2011,the ides of march,False,picture,the ides of march
2011,midnight in paris,False,picture,midnight in paris
2011,moneyball,False,picture,moneyball
2011,war horse,False,picture,war horse
2012,argo,True,picture,argo
2012,beasts of the southern wild,False,picture,beasts of the southern wild
2012,django unchained,False,picture,django unchained
2012,les misérables,False,picture,les misérables
2012,life of pi,False,picture,life of pi
2012,lincoln,False,picture,lincoln
2012,moonrise kingdom,False,picture,moonrise kingdom
2012,silver linings playbook,False,picture,silver linings playbook
2012,skyfall,False,picture,skyfall
2012,zero dark thirty,False,picture,zero dark thirty
2013,12 years a slave,True,picture,12 years a slave
2013,gravity,False,picture,gravity
2013,american hustle,False,picture,american hustle
2013,blue jasmine,False,picture,blue jasmine
2013,captain phillips,False,picture,captain phillips
2013,dallas buyers club,False,picture,dallas buyers club
2013,her,False,picture,her
2013,nebraska,False,picture,nebraska
2013,saving mr banks,False,picture,saving mr banks
2013,the wolf of wall street,False,picture,the wolf of wall street
2014,birdman or (the unexpected virtue of ignorance),True,picture,birdman or (the unexpected virtue of ignorance)
2014,american sniper,False,picture,american sniper
2014,boyhood,False,picture,boyhood
2014,foxcatcher,False,picture,foxcatcher
2014,gone girl,False,picture,gone girl
2014,the grand budapest hotel,False,picture,the grand budapest hotel
2014,the imitation game,False,picture,the imitation game
2014,nightcrawler,False,picture,nightcrawler
2014,the theory of everything,False,picture,the theory of everything
2014,whiplash,False,picture,whiplash
2015,the big short,True,picture,the big short
2015,bridge of spies,False,picture,bridge of spies
2015,brooklyn,False,picture,brooklyn
2015,ex machina,False,picture,ex machina
2015,mad max: fury road,False,picture,mad max: fury road
2015,the martian,False,picture,the martian
2015,the revenant,False,picture,the revenant
2015,sicario,False,picture,sicario
2015,spotlight,False,picture,spotlight
2015,straight outta compton,False,picture,straight outta compton
2016,la la land,True,picture,la la land
2016,arrival,False,picture,arrival
2016,deadpool,False,picture,deadpool
2016,fences,False,picture,fences
2016,hacksaw ridge,False,picture,hacksaw ridge
2016,hell or high water,False,picture,hell or high water
2016,hidden figures,False,picture,hidden figures
2016,lion,False,picture,lion
2016,manchester by the sea,False,picture,manchester by the sea
2016,moonlight,False,picture,moonlight
2017,the shape of water,True,picture,the shape of water
2017,the big sick,False,picture,the big sick
2017,call me by your name,False,picture,call me by your name
2017,dunkirk,False,picture,dunkirk
2017,get out,False,picture,get out
2017,i tonya,False,picture,i tonya
2017,lady bird,False,picture,lady bird
2017,molly's game,False,picture,molly's game
2017,the post,False,picture,the post
2017,three billboards outside ebbing missouri,False,picture,three billboards outside ebbing missouri
2017,wonder woman,False,picture,wonder woman
2018,green book,True,picture,green book
2018,black panther,False,picture,black panther
2018,blackkklansman,False,picture,blackkklansman
2018,bohemian rhapsody,False,picture,bohemian rhapsody
2018,crazy rich asians,False,picture,crazy rich asians
2018,the favourite,False,picture,the favourite
2018,a quiet place,False,picture,a quiet place
2018,roma,False,picture,roma
2018,a star is born,False,picture,a star is born
2018,vice,False,picture,vice
2019,1917,True,picture,1917
2019,ford v ferrari,False,picture,ford v ferrari
2019,the irishman,False,picture,the irishman
2019,jojo rabbit,False,picture,jojo rabbit
2019,joker,False,picture,joker
2019,knives out,False,picture,knives out
2019,little women,False,picture,little women
2019,marriage story,False,picture,marriage story
2019,once upon a time in hollywood,False,picture,once upon a time in hollywood
2019,parasite,False,picture,parasite
